#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    2   29  -1.300e-01   1.400e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   30  -1.300e-01   1.500e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    3    0  -1.200e-01  -1.500e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    1  -1.200e-01  -1.400e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    2  -1.200e-01  -1.300e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    3  -1.200e-01  -1.200e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    4  -1.200e-01  -1.100e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    5  -1.200e-01  -1.000e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    6  -1.200e-01  -9.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    7  -1.200e-01  -8.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    8  -1.200e-01  -7.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3    9  -1.200e-01  -6.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   10  -1.200e-01  -5.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   11  -1.200e-01  -4.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   12  -1.200e-01  -3.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   13  -1.200e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   14  -1.200e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   15  -1.200e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   16  -1.200e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   17  -1.200e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   18  -1.200e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   19  -1.200e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   20  -1.200e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   21  -1.200e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   22  -1.200e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   23  -1.200e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   24  -1.200e-01   9.000e-02   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   25  -1.200e-01   1.000e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   26  -1.200e-01   1.100e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   27  -1.200e-01   1.200e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   28  -1.200e-01   1.300e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   29  -1.200e-01   1.400e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    3   30  -1.200e-01   1.500e-01   0.000e+00  1.000e+00  6.123e-17  107.701  0.000e+00  180.000  1.000e+00  -72.299
    4    0  -1.100e-01  -1.500e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    1  -1.100e-01  -1.400e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    2  -1.100e-01  -1.300e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    3  -1.100e-01  -1.200e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    4  -1.100e-01  -1.100e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    5  -1.100e-01  -1.000e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    6  -1.100e-01  -9.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    7  -1.100e-01  -8.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    8  -1.100e-01  -7.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4    9  -1.100e-01  -6.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   10  -1.100e-01  -5.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   11  -1.100e-01  -4.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   12  -1.100e-01  -3.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   13  -1.100e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   14  -1.100e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   15  -1.100e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   16  -1.100e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   17  -1.100e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   18  -1.100e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   19  -1.100e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   20  -1.100e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   21  -1.100e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   22  -1.100e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   23  -1.100e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   24  -1.100e-01   9.000e-02   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   25  -1.100e-01   1.000e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
    4   26  -1.100e-01   1.100e-01   0.000e+00  1.000e+00  6.123e-17  143.726  0.000e+00  180.000  1.000e+00  -36.274
