#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    5    3  -1.000e-01  -1.200e-01   0.000e+00  4.857e-01  2.274e-17   -3.437  3.871e-17  152.712  4.857e-01  121.707
    5    4  -1.000e-01  -1.100e-01   0.000e+00  4.917e-01  1.841e-17   32.173  4.260e-17  167.877  4.917e-01  140.327
    5    5  -1.000e-01  -1.000e-01   0.000e+00  5.249e-01  1.470e-17   66.992  4.419e-17 -179.592  5.249e-01  157.994
    5    6  -1.000e-01  -9.000e-02   0.000e+00  5.837e-01  1.006e-17  104.442  4.382e-17 -169.307  5.837e-01  172.407
    5    7  -1.000e-01  -8.000e-02   0.000e+00  6.590e-01  6.169e-18  169.553  4.229e-17 -161.746  6.590e-01 -177.108
    5    8  -1.000e-01  -7.000e-02   0.000e+00  7.436e-01  9.088e-18 -118.060  4.050e-17 -157.810  7.436e-01 -170.052
    5    9  -1.000e-01  -6.000e-02   0.000e+00  8.342e-01  1.344e-17  -86.613  3.922e-17 -157.957  8.342e-01 -165.594
    5   10  -1.000e-01  -5.000e-02   0.000e+00  9.295e-01  1.350e-17  -66.752  3.860e-17 -161.234  9.295e-01 -162.948
    5   11  -1.000e-01  -4.000e-02   0.000e+00  1.026e+00  7.554e-18  -38.484  3.745e-17 -165.574  1.026e+00 -161.475
    5   12  -1.000e-01  -3.000e-02   0.000e+00  1.118e+00  7.935e-18   75.811  3.373e-17 -169.365  1.118e+00 -160.709
    5   13  -1.000e-01  -2.000e-02   0.000e+00  1.195e+00  2.159e-17  102.194  2.598e-17 -172.040  1.195e+00 -160.337
    5   14  -1.000e-01  -1.000e-02   0.000e+00  1.246e+00  3.303e-17  108.295  1.423e-17 -173.579  1.246e+00 -160.175
    5   15  -1.000e-01   0.000e+00   0.000e+00  1.264e+00  3.740e-17  109.801  0.000e+00    0.000  1.264e+00 -160.130
    5   16  -1.000e-01   1.000e-02   0.000e+00  1.246e+00  3.303e-17  108.295  1.423e-17    6.421  1.246e+00 -160.175
    5   17  -1.000e-01   2.000e-02   0.000e+00  1.195e+00  2.159e-17  102.194  2.598e-17    7.960  1.195e+00 -160.337
    5   18  -1.000e-01   3.000e-02   0.000e+00  1.118e+00  7.935e-18   75.811  3.373e-17   10.635  1.118e+00 -160.709
    5   19  -1.000e-01   4.000e-02   0.000e+00  1.026e+00  7.554e-18  -38.484  3.745e-17   14.426  1.026e+00 -161.475
    5   20  -1.000e-01   5.000e-02   0.000e+00  9.295e-01  1.350e-17  -66.752  3.860e-17   18.766  9.295e-01 -162.948
    5   21  -1.000e-01   6.000e-02   0.000e+00  8.342e-01  1.344e-17  -86.613  3.922e-17   22.043  8.342e-01 -165.594
    5   22  -1.000e-01   7.000e-02   0.000e+00  7.436e-01  9.088e-18 -118.060  4.050e-17   22.190  7.436e-01 -170.052
    5   23  -1.000e-01   8.000e-02   0.000e+00  6.590e-01  6.169e-18  169.553  4.229e-17   18.254  6.590e-01 -177.108
    5   24  -1.000e-01   9.000e-02   0.000e+00  5.837e-01  1.006e-17  104.442  4.382e-17   10.693  5.837e-01  172.407
    5   25  -1.000e-01   1.000e-01   0.000e+00  5.249e-01  1.470e-17   66.992  4.419e-17    0.408  5.249e-01  157.994
    5   26  -1.000e-01   1.100e-01   0.000e+00  4.917e-01  1.841e-17   32.173  4.260e-17  -12.123  4.917e-01  140.327
    5   27  -1.000e-01   1.200e-01   0.000e+00  4.857e-01  2.274e-17   -3.437  3.871e-17  -27.288  4.857e-01  121.707
    5   28  -1.000e-01   1.300e-01   0.000e+00  4.941e-01  2.883e-17  -35.967  3.302e-17  -46.712  4.941e-01  104.635
    5   29  -1.000e-01   1.400e-01   0.000e+00  4.953e-01  3.560e-17  -63.442  2.739e-17  -73.344  4.953e-01   90.094
    5   30  -1.000e-01   1.500e-01   0.000e+00  4.693e-01  4.078e-17  -87.411  2.728e-17 -106.929  4.693e-01   77.703
    6    0  -9.000e-02  -1.500e-01   0.000e+00  4.607e-01  4.562e-17  -68.086  2.652e-17   96.477  4.607e-01  103.213
    6    1  -9.000e-02  -1.400e-01   0.000e+00  4.912e-01  4.233e-17  -42.798  2.658e-17  131.106  4.912e-01  116.531
    6    2  -9.000e-02  -1.300e-01   0.000e+00  4.943e-01  3.702e-17  -14.959  3.246e-17  158.750  4.943e-01  132.195
    6    3  -9.000e-02  -1.200e-01   0.000e+00  4.920e-01  3.175e-17   16.180  3.872e-17  179.312  4.920e-01  150.613
    6    4  -9.000e-02  -1.100e-01   0.000e+00  5.075e-01  2.754e-17   48.944  4.343e-17 -164.085  5.075e-01  170.520
    6    5  -9.000e-02  -1.000e-01   0.000e+00  5.531e-01  2.345e-17   80.927  4.598e-17 -149.654  5.531e-01 -170.928
    6    6  -9.000e-02  -9.000e-02   0.000e+00  6.240e-01  1.799e-17  113.629  4.658e-17 -136.986  6.240e-01 -156.003
